run,seed,E,runtime,nfes,speed
1,1,-3.58275,6.46807,1000000,154606
2,2,-4.25095,3.63487,1000000,275113
3,3,-4.35414,4.20532,1000000,237794
4,4,-3.965,4.61139,1000000,216855
5,5,-3.86917,6.44559,1000000,155145
6,6,-4.17073,4.52931,1000000,220784
7,7,-4.25013,3.63535,1000000,275077
8,8,-3.77517,3.65752,1000000,273409
9,9,-3.74665,6.53893,1000000,152930
10,10,-4.26663,6.3868,1000000,156573
11,11,-4.58259,4.48722,1000000,222855
12,12,-4.36008,4.96123,1000000,201563
13,13,-4.40044,4.39317,1000000,227626
14,14,-4.43146,4.49731,1000000,222355
15,15,-3.57715,6.38981,1000000,156499
16,16,-3.83576,6.45685,1000000,154874
17,17,-4.56462,3.94538,1000000,253461
18,18,-3.99316,4.08781,1000000,244630
19,19,-3.86894,4.01611,1000000,248997
20,20,-4.29416,5.73986,1000000,174220
21,21,-4.23005,4.72172,1000000,211787
22,22,-4.37482,4.60341,1000000,217230
23,23,-3.67579,4.56272,1000000,219168
24,24,-3.98831,4.65855,1000000,214659
25,25,-4.58159,4.62596,1000000,216171
26,26,-3.80741,4.35463,1000000,229641
27,27,-4.35589,5.57711,1000000,179304
28,28,-3.79814,4.35194,1000000,229782
29,29,-4.07789,5.51367,1000000,181367
30,30,-4.58049,5.67306,1000000,176272
31,31,-4.26585,5.46423,1000000,183008
32,32,-3.60702,5.64842,1000000,177041
33,33,-3.87411,4.49038,1000000,222698
34,34,-3.72828,4.6193,1000000,216483
35,35,-3.78266,4.58546,1000000,218081
36,36,-4.38449,4.35891,1000000,229415
37,37,-3.72136,4.38158,1000000,228228
38,38,-3.5042,4.5479,1000000,219882
39,39,-3.92345,4.43252,1000000,225605
40,40,-3.76266,4.5376,1000000,220381
41,41,-4.06914,4.50401,1000000,222025
42,42,-4.24262,4.80359,1000000,208178
43,43,-4.43245,3.82067,1000000,261734
44,44,-3.48438,3.6843,1000000,271422
45,45,-4.07506,3.6819,1000000,271599
46,46,-3.76437,3.64652,1000000,274234
47,47,-3.98156,3.26712,1000000,306080
48,48,-3.73919,3.58238,1000000,279144
49,49,-3.88226,3.51827,1000000,284231
50,50,-3.42214,3.25533,1000000,307189
